device,clicks,impressions,ctr,position
MOBILE,1565,9736,0.16074363188167626,7.335661462612983
DESKTOP,479,4586,0.10444832097688618,22.75534234627126
TABLET,24,170,0.1411764705882353,3.7705882352941176
